millis,ts,type,dpIn,dpOut,o2,millis_diff
33810.0,19:27:10.234 , Vol+O2,0.0,0.0,20.69,37.0
33848.0,19:27:10.237 , Vol+O2,0.0,0.0,20.66,38.0
33884.0,19:27:10.237 , Vol+O2,0.0,0.0,20.66,36.0
33921.0,19:27:10.240 , Vol+O2,0.0,0.0,20.66,37.0
33958.0,19:27:10.242 , Vol+O2,0.0,0.0,20.66,37.0
33999.0,19:27:10.242 , Vol+O2,0.0,0.0,20.66,41.0
34035.0,19:27:10.242 , Vol+O2,0.0,0.0,20.66,36.0
34074.0,19:27:10.242 , Vol+O2,0.0,0.0,20.66,39.0
34109.0,19:27:10.243 , Vol+O2,0.0,0.0,20.66,35.0
34146.0,19:27:10.243 , Vol+O2,0.0,0.0,20.69,37.0
34183.0,19:27:10.243 , Vol+O2,0.0,0.0,20.69,37.0
34220.0,19:27:10.246 , Vol+O2,0.0,0.0,20.69,37.0
34257.0,19:27:10.246 , Vol+O2,0.0,0.0,20.69,37.0
34294.0,19:27:10.254 , Vol+O2,0.0,0.0,20.66,37.0
34331.0,19:27:10.254 , Vol+O2,0.0,0.0,20.66,37.0
34368.0,19:27:10.278 , Vol+O2,0.0,0.0,20.66,37.0
34405.0,19:27:10.303 , Vol+O2,0.0,0.0,20.66,37.0
34442.0,19:27:10.303 , Vol+O2,0.0,0.0,20.66,37.0
34479.0,19:27:10.304 , Vol+O2,0.0,0.0,20.66,37.0
34516.0,19:27:10.303 , Vol+O2,0.0,0.0,20.66,37.0
34553.0,19:27:10.313 , Vol+O2,0.0,0.0,20.66,37.0
34589.0,19:27:10.313 , Vol+O2,0.0,0.0,20.66,36.0
34626.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34663.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34700.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34737.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34774.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34811.0,19:27:10.315 , Vol+O2,0.0,0.0,20.66,37.0
34848.0,19:27:10.318 , Vol+O2,0.0,0.0,20.66,37.0
34885.0,19:27:10.318 , Vol+O2,0.0,0.0,20.66,37.0
34922.0,19:27:10.324 , Vol+O2,0.0,0.0,20.66,37.0
34959.0,19:27:10.324 , Vol+O2,0.0,0.0,20.66,37.0
34996.0,19:27:10.324 , Vol+O2,0.0,0.0,20.66,37.0
35033.0,19:27:10.325 , Vol+O2,0.0,0.0,20.66,37.0
35070.0,19:27:10.325 , Vol+O2,0.0,0.0,20.69,37.0
35107.0,19:27:10.327 , Vol+O2,0.0,0.0,20.69,37.0
35144.0,19:27:10.327 , Vol+O2,0.0,0.0,20.69,37.0
35181.0,19:27:10.329 , Vol+O2,0.0,0.0,20.69,37.0
35218.0,19:27:10.329 , Vol+O2,0.0,0.0,20.69,37.0
35255.0,19:27:10.332 , Vol+O2,0.0,0.0,20.69,37.0
35292.0,19:27:10.339 , Vol+O2,0.0,0.0,20.69,37.0
35329.0,19:27:10.339 , Vol+O2,0.0,0.0,20.69,37.0
