millis,dpSum
1053649.0,759.3000000000001
1055314.0,-873.0700000000002
1056617.0,562.45
1057872.0,-624.1899999999999
1059314.0,677.36
1060682.0,-776.5499999999998
1061939.0,516.57
1063129.0,-496.04999999999995
1065680.0,561.1899999999999
1067080.0,-775.1800000000001
1068561.0,670.04
1069929.0,-728.4899999999999
1071371.0,792.7099999999999
1073039.0,-832.8999999999999
1074558.0,557.62
1075963.0,-617.16
1077368.0,615.23
1078700.0,-798.28
1080038.0,628.4900000000001
1081367.0,-715.25
1082956.0,646.69
1084324.0,-758.5400000000001
1085992.0,743.43
1087397.0,-907.2300000000001
1088764.0,547.2500000000001
1090170.0,-574.4499999999999
1091541.0,662.06
1093058.0,-761.1800000000001
1094610.0,626.44
1096018.0,-751.71
1097163.0,621.6999999999998
1098383.0,-694.7199999999999
1099749.0,737.6399999999999
1101041.0,-847.5400000000001
1102307.0,649.03
1103712.0,-791.3099999999998
1105080.0,610.91
1106483.0,-771.2799999999999
1107820.0,748.7699999999999
1109114.0,-785.6399999999998
1110593.0,659.29
1111887.0,-834.0300000000001
1113297.0,661.0100000000001
1114628.0,-657.42
1117327.0,839.9699999999999
1118638.0,-929.82
1119969.0,877.9600000000002
1121411.0,-833.0600000000003
1122779.0,601.5500000000001
1124044.0,-791.76
1125375.0,689.24
1126632.0,-769.4399999999999
1127963.0,692.84
1129296.0,-802.03
1130626.0,615.1700000000001
1131920.0,-788.5500000000001
1133177.0,769.0699999999999
1134396.0,-837.5300000000001
1135838.0,856.7700000000001
1137206.0,-969.41
1138426.0,714.12
1139759.0,-678.0400000000001
1141053.0,724.9100000000001
1142310.0,-799.1600000000001
1143789.0,757.69
1145084.0,-881.0499999999998
1146342.0,813.16
1147710.0,-881.75
1148894.0,892.6899999999999
1150193.0,-824.3900000000001
1151416.0,809.2199999999999
1152636.0,-874.4599999999999
1153893.0,782.53
1155261.0,-872.0400000000001
1156411.0,791.7799999999999
1157557.0,-834.25
1158703.0,848.12
1159887.0,-868.6999999999999
1160885.0,812.07
1162106.0,-591.6800000000001
1164472.0,842.27
1165580.0,-1130.65
1166653.0,942.8399999999999
1167841.0,-908.7
1169023.0,770.92
1170354.0,-744.7199999999999
1171389.0,861.3899999999999
1172794.0,-791.17
1173832.0,947.53
1175126.0,-773.6999999999999
1176273.0,901.42
1177530.0,-846.85
1178602.0,833.55
1179786.0,-857.04
1181190.0,681.26
1182483.0,-846.19
1183927.0,958.94
1185777.0,-926.73
1187109.0,757.89
1188365.0,-801.4699999999999
1189550.0,814.07
1190736.0,-876.58
1191845.0,803.97
1193027.0,-761.85
1194209.0,809.1700000000001
1195400.0,-847.25
1196582.0,823.35
1197874.0,-764.42
1198909.0,774.5999999999999
1199945.0,-910.86
1201092.0,826.1299999999999
1202237.0,-843.6899999999999
1203345.0,790.23
1204601.0,-767.2500000000001
1205709.0,904.43
1206903.0,-923.62
1207973.0,932.9299999999998
1209119.0,-834.78
1210153.0,892.9
1211261.0,-865.85
1212334.0,974.81
1213515.0,-940.9100000000001
1214623.0,887.2100000000002
1215695.0,-948.2800000000001
1216730.0,876.9499999999999
1217992.0,-741.6400000000001
1218990.0,923.0900000000001
1220099.0,-820.74
1221021.0,871.48
1222166.0,-701.64
1223211.0,887.87
1224322.0,-907.8299999999999
1225394.0,871.28
1226501.0,-876.04
1227721.0,859.74
1228837.0,-958.99
1229909.0,947.31
1230981.0,-961.4000000000001
1232052.0,900.9800000000001
1233014.0,-962.0699999999999
1234053.0,988.35
1235161.0,-958.6500000000001
1236269.0,893.1400000000001
1237452.0,-870.8399999999999
1238450.0,942.83
1239606.0,-936.9300000000001
1240641.0,959.2599999999999
1241750.0,-943.8000000000001
1242785.0,1042.68
1243929.0,-965.94
1244969.0,951.2199999999999
1246076.0,-795.9599999999999
1246926.0,958.4200000000001
1247998.0,-1004.21
1249034.0,961.7400000000001
1250143.0,-952.4499999999999
1251113.0,998.11
1252112.0,-988.0999999999999
1252998.0,1020.99
1254032.0,-935.5699999999999
1255067.0,1047.69
1256043.0,-1101.9299999999998
1256930.0,1103.1100000000001
1258076.0,-943.5600000000001
1258927.0,987.6999999999999
1259925.0,-1018.43
1260738.0,1161.3700000000001
1261630.0,-1065.8600000000001
1262406.0,1252.8599999999997
1263257.0,-1265.5499999999997
1264107.0,1211.17
1265068.0,-1082.4799999999998
1265919.0,1193.5900000000001
1266994.0,-811.67
1267769.0,1043.22
1268803.0,-989.78
1269691.0,1090.27
1270690.0,-989.0200000000001
1271540.0,1179.75
1272471.0,-996.14
1273321.0,1164.2100000000003
1274245.0,-1048.48
1275096.0,1095.03
1275983.0,-1020.93
1276797.0,1067.68
1277688.0,-953.3499999999999
1278390.0,1216.77
1279130.0,-1040.03
1279758.0,1236.8
1280571.0,-1073.58
1281310.0,1263.2700000000002
1281975.0,-1210.2500000000002
1282602.0,1261.82
1283386.0,-1116.93
1284087.0,1107.68
1284938.0,-930.6599999999999
1285529.0,768.11
1286749.0,-670.0200000000001
1287415.0,1140.49
1288154.0,-1073.8600000000001
1288783.0,1206.27
1289489.0,-1090.3000000000002
1290118.0,1332.6499999999999
1290746.0,-1157.9
1291338.0,1302.61
1292040.0,-1151.84
1292669.0,1189.6499999999999
1293371.0,-896.67
1293963.0,1175.94
1294604.0,-973.99
1295195.0,1170.41
1295824.0,-902.3699999999999
1296415.0,1188.92
1297118.0,-922.6600000000001
1297857.0,1018.44
1298708.0,-925.9499999999999
1299410.0,1090.92
1300300.0,-915.99
1301001.0,1080.3
1301702.0,-901.75
1302405.0,1087.4599999999998
1303255.0,-962.2699999999999
1303995.0,1094.01
1304845.0,-876.59
1305701.0,970.3999999999999
1306662.0,-880.0999999999999
1307549.0,986.0699999999999
1308584.0,-864.9799999999999
1309472.0,923.1400000000001
1310432.0,-916.8700000000001
1311391.0,894.37
1312389.0,-816.65
1313240.0,964.83
1314201.0,-891.8
1315125.0,875.95
1316089.0,-864.1500000000001
1316978.0,911.9100000000001
1318087.0,-816.78
1318975.0,900.48
1320084.0,-726.5400000000001
1320971.0,859.4300000000001
1322012.0,-797.11
1322972.0,932.9999999999999
1324081.0,-843.77
1325005.0,834.9399999999999
1326041.0,-745.0500000000001
1326892.0,856.2300000000001
1328002.0,-644.85
1328927.0,855.9100000000001
1330036.0,-814.52
1331071.0,845.72
1332217.0,-809.0400000000001
1333142.0,949.9300000000001
1334178.0,-838.82
1335102.0,886.11
1336137.0,-789.83
1336913.0,834.1599999999999
1337914.0,-744.47
1338916.0,806.84
1340026.0,-708.84
1340913.0,680.7
1341800.0,-647.1400000000001
1342725.0,790.91
1343761.0,-751.34
1345055.0,846.03
1346719.0,-764.4999999999999
1347863.0,778.7000000000002
1348973.0,-724.3099999999998
1350450.0,287.91
1351262.0,-697.51
1352112.0,795.84
1353074.0,-847.89
1353998.0,946.1500000000001
1355149.0,-688.9300000000001
1356185.0,746.57
1357331.0,-831.25
1358476.0,816.2100000000002
1359733.0,-706.4199999999998
1360664.0,649.2399999999999
1361625.0,-751.7900000000001
1362698.0,823.94
1363992.0,-711.41
1365249.0,784.45
1366553.0,-831.8399999999999
1367699.0,766.03
1368882.0,-753.0500000000001
1369917.0,658.32
1370994.0,-654.62
1371992.0,654.08
1373101.0,-724.1299999999999
1374284.0,847.4200000000001
1375614.0,-821.3700000000001
1376612.0,711.8299999999999
1377869.0,-512.49
1380013.0,814.02
1381305.0,-657.7499999999999
1382460.0,752.98
1383828.0,-649.6099999999999
1384789.0,628.0999999999999
1385898.0,-693.5900000000001
1387156.0,713.9200000000001
1388526.0,-649.04
1389563.0,620.3699999999999
1390745.0,-544.5999999999999
1391669.0,625.9399999999999
1392742.0,-596.3000000000001
1393936.0,676.86
1395305.0,-625.1600000000001
1397227.0,386.01000000000005
1398816.0,-579.0
1399999.0,676.85
1401476.0,-518.13
1402473.0,526.81
1404217.0,-424.74000000000007
1406544.0,526.4199999999998
1407727.0,-585.21
1408910.0,556.81
1410031.0,-574.9300000000001
1410955.0,499.84000000000003
1412027.0,-407.05000000000007
1412989.0,470.98
1414098.0,-518.3
1415732.0,651.65
1417285.0,-670.6200000000001
1418172.0,492.2
1419280.0,-393.1
1420241.0,431.78000000000003
1421318.0,-420.52
1422574.0,490.96
1423868.0,-511.38
1425162.0,468.0799999999999
1426491.0,-541.8
1427454.0,446.69
1428524.0,-489.45
1429631.0,472.28000000000003
1430814.0,-460.5
1432303.0,592.21
1434003.0,-545.1800000000001
1435076.0,369.81
1436296.0,-344.43
1437524.0,381.82
1439077.0,-446.27000000000004
1440815.0,366.15999999999997
1442590.0,-447.90000000000003
1444110.0,385.9
1445663.0,-410.13
1447140.0,433.3
1448735.0,-408.59000000000003
1450176.0,388.17
1451655.0,-525.2
1453429.0,454.42999999999995
1454912.0,-424.14000000000004
1456612.0,489.89000000000004
1458461.0,-513.36
1459570.0,345.74
1460826.0,-341.72999999999996
1461935.0,202.28
1462970.0,-244.61999999999998
1463857.0,355.77
1465155.0,-278.69
1466079.0,299.08
1467262.0,-340.66999999999996
1468519.0,340.89
1469892.0,-407.84000000000003
1471042.0,304.28000000000003
1472223.0,-264.75
1473368.0,284.88999999999993
